0,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 
0.02,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 
0.04,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 
0.06,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 
0.08,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 ,-0.500 
0.1,-0.498 ,-0.500 ,-0.497 ,-0.489 ,-0.476 ,-0.459 
0.12,-0.498 ,-0.500 ,-0.491 ,-0.474 ,-0.446 ,-0.410 
0.14,-0.499 ,-0.499 ,-0.489 ,-0.469 ,-0.440 ,-0.402 
0.16,-0.500 ,-0.498 ,-0.485 ,-0.464 ,-0.433 ,-0.394 
0.18,-0.500 ,-0.496 ,-0.482 ,-0.458 ,-0.426 ,-0.385 
0.2,-0.500 ,-0.494 ,-0.478 ,-0.452 ,-0.418 ,-0.376 
0.22,-0.500 ,-0.491 ,-0.474 ,-0.446 ,-0.410 ,-0.367 
0.24,-0.499 ,-0.489 ,-0.469 ,-0.440 ,-0.402 ,-0.358 
0.26,-0.498 ,-0.485 ,-0.464 ,-0.433 ,-0.394 ,-0.348 
0.28,-0.496 ,-0.482 ,-0.458 ,-0.426 ,-0.385 ,-0.338 
0.3,-0.494 ,-0.478 ,-0.452 ,-0.418 ,-0.376 ,-0.328 
0.32,-0.491 ,-0.474 ,-0.446 ,-0.410 ,-0.367 ,-0.318 
0.34,-0.489 ,-0.469 ,-0.440 ,-0.402 ,-0.358 ,-0.308 
0.36,-0.485 ,-0.464 ,-0.433 ,-0.394 ,-0.348 ,-0.297 
0.38,-0.482 ,-0.458 ,-0.426 ,-0.385 ,-0.338 ,-0.286 
0.4,-0.478 ,-0.452 ,-0.418 ,-0.376 ,-0.328 ,-0.275 
0.42,-0.474 ,-0.446 ,-0.410 ,-0.367 ,-0.318 ,-0.264 
0.44,-0.469 ,-0.440 ,-0.402 ,-0.358 ,-0.308 ,-0.253 
0.46,-0.464 ,-0.433 ,-0.394 ,-0.348 ,-0.297 ,-0.242 
0.48,-0.458 ,-0.426 ,-0.385 ,-0.338 ,-0.286 ,-0.230 
0.5,-0.452 ,-0.418 ,-0.376 ,-0.328 ,-0.275 ,-0.219 
0.52,-0.446 ,-0.410 ,-0.367 ,-0.318 ,-0.264 ,-0.207 
0.54,-0.440 ,-0.402 ,-0.358 ,-0.308 ,-0.253 ,-0.196 
0.56,-0.433 ,-0.394 ,-0.348 ,-0.297 ,-0.242 ,-0.184 
0.58,-0.426 ,-0.385 ,-0.338 ,-0.286 ,-0.230 ,-0.172 
